price,location,land_area,no_of_flat,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,furnishing,facing,road_size
Rs. 2 Crore (Negotiable),Location: Banepa Kavre ,Land Area: 0-6-0-0 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,13 Feet 
Rs. 6 Crore 56 Lakh (Negotiable),Location: Koteshwor Sanjibani Marga ,Land Area: 0-8-0-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,13 Feet 
Rs. 6 Crore 56 Lakh (Negotiable),Location: Koteshwor Sanjibani Marga ,Land Area: 0-8-0-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 3 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: West Faced ,13 Feet 
Rs. 1 Crore 20 Lakh (Negotiable),Location: Lubhu Chasidol ,Land Area: 0-2-3-3 ,Floors: 1.5 ,Bedrooms: 3 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. 1 Crore 20 Lakh (Negotiable),Location: Lubhu Chasidol ,Land Area: 0-2-3-3 ,Floors: 1.5 ,Bedrooms: 3 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,13 Feet 
Rs. 2 Crore 70 Lakh (Negotiable),Location: Budhanilkantha Mandikatar Sundarbasti ,Land Area: 0-4-0-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 5 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,12 Feet 
Rs. 2 Crore 70 Lakh (Negotiable),Location: Budhanilkantha Mandikatar Sundarbasti ,Land Area: 0-4-0-0 ,Floors: 3 ,Bedrooms: 6 ,Bathrooms: 5 ,Living rooms: 3 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,12 Feet 
Rs. 27 Lakh (Negotiable),Location: Dadhikot Chitrapur ,Land Area: 0-4-0-0 ,Floors: 0 ,Bedrooms: 0 ,Bathrooms: 0 ,Living rooms: 0 ,Kitchens: 0 ,Furnishing Type: Not Furnishing ,Face Towards: South Faced ,20 Feet 
Rs. 27 Lakh (Negotiable),Location: Dadhikot Chitrapur ,Land Area: 0-4-0-0 ,Floors: 0 ,Bedrooms: 0 ,Bathrooms: 0 ,Living rooms: 0 ,Kitchens: 0 ,Furnishing Type: Not Furnishing ,Face Towards: South Faced ,20 Feet 
Rs. 3 Crore (Negotiable),Location: Koteshwor Narephat ,Land Area: 0-2-2-0 ,Floors: 3.5 ,Bedrooms: 5 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,9 Feet 
Rs. 3 Crore (Negotiable),Location: Koteshwor Narephat ,Land Area: 0-2-2-0 ,Floors: 3.5 ,Bedrooms: 5 ,Bathrooms: 3 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,9 Feet 
Rs. 2 Crore 90 Lakh (Negotiable),Location: Nagarjun-10 Party Chowk ,Land Area: 0-5-0-0 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,13 Feet 
Rs. 2 Crore 90 Lakh (Negotiable),Location: Nagarjun-10 Party Chowk ,Land Area: 0-5-0-0 ,Floors: 2 ,Bedrooms: 4 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,13 Feet 
Rs. 2 Crore 55 Lakh (Negotiable),Location: Budhanilkantha Dulal Gaun ,Land Area: 0-5-1-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,16 Feet 
Rs. 2 Crore 55 Lakh (Negotiable),Location: Budhanilkantha Dulal Gaun ,Land Area: 0-5-1-0 ,Floors: 2.5 ,Bedrooms: 6 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,16 Feet 
Rs. 2 Crore 40 Lakh (Negotiable),Location: Bode Planning ,Land Area: 0-3-1-3 ,Floors: 3.5 ,Bedrooms: 11 ,Bathrooms: 7 ,Living rooms: 1 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,22 Feet 
Rs. 2 Crore 40 Lakh (Negotiable),Location: Bode Planning ,Land Area: 0-3-1-3 ,Floors: 3.5 ,Bedrooms: 11 ,Bathrooms: 7 ,Living rooms: 1 ,Kitchens: 3 ,Furnishing Type: Semi Furnishing ,Face Towards: North Faced ,22 Feet 
Rs. 1 Crore 48 Lakh (Negotiable),Location: Tarkeshwor Phulbari Gate Goldhunga ,Land Area: 0-2-2-2 ,Floors: 2 ,Bedrooms: 5 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,12 Feet 
Rs. 1 Crore 48 Lakh (Negotiable),Location: Tarkeshwor Phulbari Gate Goldhunga ,Land Area: 0-2-2-2 ,Floors: 2 ,Bedrooms: 5 ,Bathrooms: 2 ,Living rooms: 1 ,Kitchens: 1 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,12 Feet 
Rs. 3 Crore 50 Lakh (Negotiable),Location: Grandi Tokha ,Land Area: 0-5-0-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,12 Feet 
Rs. 3 Crore 50 Lakh (Negotiable),Location: Grandi Tokha ,Land Area: 0-5-0-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: South Faced ,12 Feet 
Rs. 3 Crore (Negotiable),Location: Nayabasti ,Land Area: 0-3-2-0 ,Floors: 4 ,Bedrooms: 8 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 4 ,Furnishing Type: Not Furnishing ,Face Towards: East/North Faced ,0 
Rs. 3 Crore (Negotiable),Location: Nayabasti ,Land Area: 0-3-2-0 ,Floors: 4 ,Bedrooms: 8 ,Bathrooms: 4 ,Living rooms: 4 ,Kitchens: 4 ,Furnishing Type: Not Furnishing ,Face Towards: East/North Faced ,0 
Rs. 5 Crore 50 Lakh (Negotiable),Location: Koteshwor ,Land Area: 0-5-0-0 ,Floors: 4 ,Bedrooms: 16 ,Bathrooms: 10 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Not Furnishing ,Face Towards: East Faced ,6 Feet 
Rs. 5 Crore 50 Lakh (Negotiable),Location: Koteshwor ,Land Area: 0-5-0-0 ,Floors: 4 ,Bedrooms: 16 ,Bathrooms: 10 ,Living rooms: 2 ,Kitchens: 2 ,Furnishing Type: Not Furnishing ,Face Towards: East Faced ,6 Feet 
Rs. 2 Crore 80 Lakh,"Location: Tikathali ,Imadol ",Land Area: 0-3-2-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,13 Feet 
Rs. 2 Crore 80 Lakh,"Location: Tikathali ,Imadol ",Land Area: 0-3-2-0 ,Floors: 3 ,Bedrooms: 7 ,Bathrooms: 4 ,Living rooms: 3 ,Kitchens: 2 ,Furnishing Type: Semi Furnishing ,Face Towards: East Faced ,13 Feet 
