price,location,land_size,no_of_flat,no_of_bedroom,no_of_bathroom,furnishing,facing,road_size
Rs. 4.1Cr ,"Pasikot, Kathmandu",4.2 aana,3,5,3,Un-Furnished,West,13 Feet 
Rs. 3.3Cr ,"Pasikot, Kathmandu",3.2 aana,3,6,3,Un-Furnished,South,20 Feet 
Rs. 10Cr ,"Budhanilkantha, Kathmandu",3.2 aana,2.5,6,2,Un-Furnished,North,20 Feet 
Rs. 7.5Cr ,"Badeli, Kathmandu",3.2 aana,3,6,3,Un-Furnished,South,20 Feet 
Rs. 3.3Cr ,"Balkot, Bhaktapur",3.1 aana,3,6,5,Full-Furnished,East,13 Feet 
Rs. 4.2Cr ,"Imadol, Lalitpur",3.1 aana,3,6,5,Full-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Balkot, Bhaktapur",3.2 aana,3,6,4,Semi-Furnished,South,13 Feet 
Rs. 8.4Cr ,"Sanepa, Lalitpur",3.2 aana,2.5,8,3,Un-Furnished,North-East,12 Feet 
Rs. 3.25Cr ,"Pepsicola, Kathmandu",3.2 aana,3.5,8,6,Full-Furnished,West,13 Feet 
Rs. 6.2Cr ,"Shantinagar, Kathmandu",6.1 aana,3,6,5,Full-Furnished,West,20 Feet 
Rs. 7.5Cr ,"Shantinagar, Kathmandu",8.3 aana,2.5,6,4,Full-Furnished,West,13 Feet 
Rs. 1.98Cr ,"Imadol, Lalitpur",8.3 aana,2,5,2,Semi-Furnished,South-West,13 Feet 
Rs. 12.2Cr ,"Old Baneshwor, Kathmandu",8.3 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 4.5Cr ,"Old Baneshwor, Kathmandu",4.2 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 9.2Cr ,"Shantinagar, Kathmandu",6.1 aana,3.5,10,4,Semi-Furnished,West,13 Feet 
Rs. 3.95Cr ,"Sanagaun, Lalitpur",4.3 aana,3,6,6,Full-Furnished,East,13 Feet 
Rs. 3.15Cr ,"Rajkulo, Lalitpur",3.1 aana,3.5,6,5,Full-Furnished,North-West,13 Feet 
Rs. 14.5Cr ,"Golfutar, Kathmandu",3.1 aana,2.5,5,4,Semi-Furnished,North-West,13 Feet 
Rs. 3.5Cr ,"Mandikhatar, Kathmandu",3.1 aana,2.5,5,4,Semi-Furnished,South-West,13 Feet 
Rs. 2.65Cr ,"Bhaisepati, Lalitpur",3.2 aana,3.5,6,3,Semi-Furnished,South-East,13 Feet 
Rs. 4.35Cr ,"Bishalnagar, Kathmandu",5.2 aana,3.5,8,3,Un-Furnished,East,13 Feet 
Rs. 4.8Cr ,"Dhumbarahi, Kathmandu",5.2 aana,5,14,5,Un-Furnished,North,16 Feet 
Rs. 4.1Cr ,"Bhaisepati, Lalitpur",5.2 aana,2.5,4,3,Full-Furnished,North,16 Feet 
Rs. 4.5Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,4,3,Full-Furnished,West,13 Feet 
Rs. 5Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,4,3,Full-Furnished,East,13 Feet 
Rs. 13.8Cr ,"Budhanilkantha, Kathmandu",4.2 aana,3,5,2,Un-Furnished,South,21 Feet 
Rs. 3.5Cr ,"Samakhusi, Kathmandu",4.2 aana,3,6,3,Un-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Chitrapur, Bhaktapur",3.2 aana,3.5,6,3,Semi-Furnished,East,11 Meter
Rs. 2.65Cr ,"Gothatar, Kathmandu",3.2 aana,2.5,6,4,Semi-Furnished,East,13 Feet 
Rs. 8.5Cr ,"Budhanilkantha, Kathmandu",3.2 aana,3,7,4,Un-Furnished,West,20 Feet 
Rs. 4.25Cr ,"Baluwakhani, Kathmandu",3.2 aana,3,6,4,Un-Furnished,West,16 Feet 
Rs. 8.5Cr ,"Deuwa chowk, Kathmandu",3.2 aana,2,8,4,Un-Furnished,South,16 Feet 
Rs. 5.25Cr ,"Budhanilkantha, Kathmandu",3.2 aana,3,8,4,Un-Furnished,South,20 Feet 
Rs. 1.75Cr ,"Nallu, Lalitpur",3.2 aana,2.5,3,2,Semi-Furnished,South-East,20 Feet 
Rs. 2.1Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,5,Full-Furnished,North-West,15 Feet 
Rs. 1.4Cr ,"Lamatar, Lalitpur",2.3 aana,2.5,3,3,Semi-Furnished,East,20 Feet 
Rs. 1.35Cr ,"Butwal, Rupandehi",0.9.5 kattha,1,2,2,Semi-Furnished,North-West,20 Feet 
Rs. 2.65Cr ,"Lasuntar, Kathmandu",3.1 aana,3,6,5,Semi-Furnished,West,14 Feet 
Rs. 5.3Cr ,"Thamel, Kathmandu",1.2 aana,6.5,2,3,Semi-Furnished,West,16 Feet 
Rs. 3.3Cr ,"Basantapur, Kathmandu",1.3 aana,6.5,2,3,Un-Furnished,West,14 Feet 
Rs. 2.95Cr ,"Bagdol, Lalitpur",1.3 aana,2.5,2,2,Semi-Furnished,West,14 Feet 
Rs. 1.55Cr ,"Siddhipur, Lalitpur",1.3 aana,1,2,1,Un-Furnished,North,13 Feet 
Rs. 4.25Cr ,"Lubhu, Lalitpur",5.2 aana,3,5,5,Full-Furnished,North,13 Feet 
Rs. 3Cr ,"Imadol, Lalitpur",3.2 aana,3.5,9,4,Full-Furnished,East,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,4,Semi-Furnished,North-East,13 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.1 aana,3,5,3,Un-Furnished,South,13 Feet 
Rs. 2.75Cr ,"Gothatar, Kathmandu",3.2 aana,3,6,2,Un-Furnished,South,16 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,3,5,3,Full-Furnished,South,13 Feet 
Rs. 2.65Cr ,"Tikathali, Lalitpur",3.2 aana,3.5,8,6,Semi-Furnished,South-East,13 Feet 
Rs. 3.1Cr ,"Tikathali, Lalitpur",3.2 aana,3,7,4,Full-Furnished,South,13 Feet 
Rs. 2.65Cr ,"Tikathali, Lalitpur",3.3 aana,3,7,5,Semi-Furnished,West,13 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,3,5,5,Full-Furnished,North,13 Feet 
Rs. 3.3Cr ,"Lasuntar, Kathmandu",3.2 aana,3,6,5,Semi-Furnished,South,13 Feet 
Rs. 3.55Cr ,"Imadol, Lalitpur",3.2 aana,3.5,6,5,Semi-Furnished,East,13 Feet 
Price on call,"Goldhunga, Kathmandu",3.2 aana,3.5,7,6,Un-Furnished,West,8 Feet 
Rs. 3.8Cr ,"Tikathali, Lalitpur",3.2 aana,3,7,5,Semi-Furnished,South-East,26 Feet 
Rs. 4.35Cr ,"Harisiddhi, Lalitpur",3.2 aana,2.5,6,5,Semi-Furnished,West,13 Feet 
Rs. 10Cr ,"Bansbari, Kathmandu",3.2 aana,2.5,8,5,Full-Furnished,West,13 Feet 
Price on call,"Hattigaunda, Kathmandu",6.1 aana,2.5,5,6,Full-Furnished,West,20 Feet 
Price on call,"Pasikot, Kathmandu",6.1 aana,2.5,6,5,Full-Furnished,South-East,13 Feet 
Rs. 3.35Cr ,"Imadol, Lalitpur",3.1 aana,3.5,8,4,Full-Furnished,South,13 Feet 
Rs. 3.25Cr ,"Budhanilkantha, Kathmandu",3.1 aana,2,6,3,Un-Furnished,West,16 Feet 
Rs. 2.6Cr ,"Tikathali, Lalitpur",3.2 aana,3.5,2,4,Semi-Furnished,West,13 Feet 
Rs. 3.35Cr ,"Ochu Height, Lalitpur",3.1 aana,3.5,5,5,Full-Furnished,South,13 Feet 
Rs. 3.95Cr ,"Sanagaun, Lalitpur",3.1 aana,3.5,5,5,Full-Furnished,East,13 Feet 
Rs. 3.75Cr ,"Imadol, Lalitpur",4.1 aana,3.5,7,5,Semi-Furnished,West,20 Feet 
Rs. 5.75Cr ,"Shital Height, Lalitpur",5.1 aana,3.5,7,6,Semi-Furnished,East,26 Feet 
Rs. 3.1Cr ,"Kuleshwor, Kathmandu",6.2 aana,3,11,4,Semi-Furnished,East,10 Feet 
Rs. 4.5Cr ,"Bhaisepati, Lalitpur",6.2 aana,2.5,7,5,Semi-Furnished,South,16 Feet 
Price on call,"Hattiban, Lalitpur",6.2 aana,2.5,6,5,Semi-Furnished,South-West,13 Feet 
Rs. 3.75Cr ,"Ganesh Chowk, Kathmandu",3.2 aana,3,6,3,Un-Furnished,West,16 Feet 
Rs. 2.65Cr ,"Khadka Bhadrakali, Kathmandu",3.2 aana,2.5,6,3,Un-Furnished,West,13 Feet 
Rs. 2.2Cr ,"Megha City, Kathmandu",3.2 aana,3,7,3,Un-Furnished,West,13 Feet 
Rs. 4Cr ,"Ganesh Chowk, Kathmandu",4.2 aana,3,5,4,Full-Furnished,East,16 Feet 
Rs. 4.6Cr ,"Bhaisepati, Lalitpur",4.2 aana,2.5,5,6,Semi-Furnished,South-East,13 Feet 
Rs. 4.25Cr ,"Pasikot, Kathmandu",4.2 aana,2.5,5,5,Semi-Furnished,South,14 Feet 
Price on call,"Bhaisepati, Lalitpur",4.2 aana,3,6,4,Un-Furnished,South,13 Feet 
Rs. 1.85Cr ,"Shital Height, Lalitpur",2.2 aana,2.5,4,3,Semi-Furnished,South,13 Feet 
Rs. 4.2Cr ,"Imadol, Lalitpur",3.2 aana,3.5,5,4,Full-Furnished,West,13 Feet 
Rs. 14Cr ,"Rudreshwor, Kathmandu",3.2 aana,2.5,6,2,Un-Furnished,East,13 Feet 
Rs. 11Cr ,"Ganesh Chowk, Kathmandu",15.2 aana,2.5,6,2,Un-Furnished,South,20 Feet 
Rs. 3.5Cr ,"Sukedhara, Kathmandu",3.3 aana,2.5,6,2,Un-Furnished,South,20 Feet 
Rs. 2.4Cr ,"Sukedhara, Kathmandu",3.3 aana,2.5,7,4,Un-Furnished,East,13 Feet 
Rs. 3Cr ,"Imadol, Lalitpur",3.1 aana,3,6,5,Full-Furnished,West,13 Feet 
Rs. 6Cr ,"Shantinagar, Kathmandu",3.1 aana,3.5,5,3,Full-Furnished,North-West,13 Feet 
Rs. 2.2Cr ,"Lubhu, Lalitpur",3.1 aana,2.5,5,4,Semi-Furnished,East,16 Feet 
Rs. 2.5Cr ,"Chyasundole, Kathmandu",3.1 aana,2.5,4,4,Un-Furnished,South,13 Feet 
Rs. 2.99Cr ,"Shital Height, Lalitpur",3.1 aana,2.5,5,3,Semi-Furnished,South-East,20 Feet 
Rs. 3.7Cr ,"Hattigaunda, Kathmandu",3.1 aana,3,4,3,Full-Furnished,West,13 Feet 
Price on call,"Hattigaunda, Kathmandu",3.1 aana,2.5,5,8,Full-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Full-Furnished,East,15 Feet 
Rs. 70Lac/aana,"Dhumbarahi, Kathmandu",3.1 aana,2.5,7,4,Un-Furnished,South,16 Feet 
Rs. 3Cr ,"Sukedhara, Kathmandu",3.1 aana,2.5,7,4,Un-Furnished,East,16 Feet 
Rs. 6Cr ,"Kamerotar, Bhaktapur",3.1 aana,3.5,5,4,Full-Furnished,North,20 Feet 
Rs. 2.7Cr ,"Sanagaun, Lalitpur",3.1 aana,4,5,4,Full-Furnished,South,13 Feet 
Rs. 13Cr ,"Godawari, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,South-West,16 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",3.1 aana,2.5,5,4,Full-Furnished,West,20 Feet 
Rs. 3.9Cr ,"Chapali, Kathmandu",4.2 aana,3.5,5,4,Full-Furnished,North-West,14 Feet 
Rs. 5.5Cr ,"Rudreshwor, Kathmandu",4.2 aana,2.5,5,2,Un-Furnished,South-East,16 Feet 
Rs. 3.5Cr ,"Sukedhara, Kathmandu",4.2 aana,3,9,4,Un-Furnished,South,13 Feet 
Rs. 3.95Cr ,"Mid Baneshwor, Kathmandu",4.2 aana,2.5,7,2,Un-Furnished,East,13 Feet 
Rs. 12Cr ,"Hepali Height, Kathmandu",4.2 aana,2.5,7,2,Semi-Furnished,East,16 Feet 
Rs. 7.5Cr ,"Hepali Height, Kathmandu",4.2 aana,2.5,6,2,Un-Furnished,South-East,16 Feet 
Rs. 4.75Cr ,"Pasikot, Kathmandu",4.2 aana,2.5,4,2,Full-Furnished,East,20 Feet 
Rs. 3.7Cr ,"Hattigaunda, Kathmandu",4.2 aana,3,4,2,Full-Furnished,East,13 Feet 
Rs. 5.5Cr ,"Hattigaunda, Kathmandu",6.1 aana,3,4,2,Full-Furnished,West,16 Feet 
Rs. 3Cr ,"Sitapaila, Kathmandu",4.1 aana,3.5,8,3,Semi-Furnished,East,10 Feet 
Rs. 2.95Cr ,"Tikathali, Lalitpur",3.3 aana,3,5,5,Semi-Furnished,North,13 Feet 
Rs. 2Cr ,"Balkot, Bhaktapur",3.2 aana,3.5,3,3,Semi-Furnished,East,15 Feet 
Rs. 3.55Cr ,"Setipakha, Lalitpur",3.2 aana,3,6,4,Full-Furnished,East,13 Feet 
Rs. 3.85Cr ,"Imadol, Lalitpur",3.3 aana,2.5,6,4,Full-Furnished,West,13 Feet 
Rs. 2.85Cr ,"Lasuntar, Kathmandu",3.2 aana,2.5,6,3,Semi-Furnished,South,16 Feet 
Rs. 2.65Cr ,"Lasuntar, Kathmandu",3.2 aana,2.5,6,2,Semi-Furnished,West,16 Feet 
Rs. 4Cr ,"Shankhamul, Kathmandu",3.2 aana,3,6,2,Semi-Furnished,North,15 Feet 
Rs. 5Cr ,"Shankhamul, Kathmandu",3.2 aana,3.5,6,2,Semi-Furnished,West,16 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,2.5,5,4,Full-Furnished,East,13 Feet 
Rs. 2.68Cr ,"Dhapakhel, Lalitpur",3.2 aana,2.5,4,3,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Tikathali, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,East,13 Feet 
Rs. 11Cr ,"Shankhamul, Kathmandu",3.2 aana,5.5,6,4,Semi-Furnished,North-East,16 Feet 
Rs. 12Cr ,"Sanepa, Lalitpur",3.2 aana,2.5,7,4,Un-Furnished,South,20 Feet 
Rs. 12.3Cr ,"Old Baneshwor, Kathmandu",3.2 aana,2.5,9,4,Un-Furnished,West,20 Feet 
Rs. 3.75Cr ,"Battisputali, Kathmandu",3.2 aana,2.5,7,3,Un-Furnished,East,10 Feet 
Rs. 5.5Cr ,"Shankhamul, Kathmandu",3.2 aana,3.5,7,3,Semi-Furnished,South,22 Feet 
Rs. 7.5Cr ,"Shankhamul, Kathmandu",7.2 aana,3.5,10,3,Semi-Furnished,North-East,22 Feet 
Rs. 4.1Cr ,"Chandol, Kathmandu",7.2 aana,4,7,7,Semi-Furnished,West,8 Meter
Rs. 3.5Cr ,"Sitapakha, Lalitpur",3.2 aana,2.5,6,4,Full-Furnished,South-East,13 Feet 
Rs. 4.25Cr ,"Nakhipot, Lalitpur",4.1 aana,2.5,7,4,Semi-Furnished,South,13 Feet 
Rs. 3.75Cr ,"Kupandole, Lalitpur",4.1 aana,2.5,8,1,Un-Furnished,South,13 Feet 
Rs. 4.75Cr ,"New Road, Kathmandu",2.1 aana,5,5,4,Semi-Furnished,South,13 Feet 
Rs. 5.5Cr ,"Imadol, Lalitpur",2.1 aana,3.5,7,7,Full-Furnished,East,20 Feet 
Rs. 1.9Cr ,"Kapan, Kathmandu",2.1 aana,2.5,5,4,Un-Furnished,North,10 Feet 
Rs. 3.5Cr ,"Setipakha, Lalitpur",3.3 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.2Cr ,"Nakhipot, Lalitpur",3.2 aana,2.5,4,3,Semi-Furnished,South,13 Feet 
Rs. 2.6Cr ,"Dhumbarahi, Kathmandu",3.1 aana,2.5,6,3,Un-Furnished,South-West,16 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",3.1 aana,3.5,6,4,Semi-Furnished,South-East,13 Feet 
Rs. 2.7Cr ,"Tikathali, Lalitpur",3.1 aana,2.5,6,4,Full-Furnished,East,13 Feet 
Rs. 2.9Cr ,"Gwarko, Lalitpur",3.1 aana,2.5,5,2,Semi-Furnished,South,13 Feet 
Rs. 3.45Cr ,"Bhangal , Kathmandu",3.1 aana,3.5,6,4,Un-Furnished,South,13 Feet 
Rs. 2.85Cr ,"Lasuntar, Kathmandu",3.3 aana,2.5,6,4,Semi-Furnished,North,13 Feet 
Rs. 3.9Cr ,"Dhobighat, Lalitpur",3.3 aana,3.5,7,4,Semi-Furnished,North,12 Feet 
Rs. 2.9Cr ,"Imadol, Lalitpur",3.3 aana,2.5,5,3,Semi-Furnished,South,13 Feet 
Rs. 3.5Cr ,"Ramkot, Kathmandu",6.2 aana,2.5,4,4,Semi-Furnished,North-East,12 Feet 
Rs. 2.7Cr ,"Nakkhu, Lalitpur",6.2 aana,3.5,7,3,Semi-Furnished,South,13 Feet 
Rs. 2.98Cr ,"Imadol, Lalitpur",6.2 aana,2.5,6,3,Semi-Furnished,West,13 Feet 
Rs. 2.1Cr ,"Kadaghari, Kathmandu",6.2 aana,3,5,4,Un-Furnished,East,20 Feet 
Rs. 2.99Cr ,"Tokha, Kathmandu",4.1 aana,2.5,6,3,Un-Furnished,North-East,16 Feet 
Rs. 4.7Cr ,"Budhanilkantha, Kathmandu",4.1 aana,2.5,5,3,Un-Furnished,South,16 Feet 
Rs. 3.2Cr ,"Bhangal , Kathmandu",4.1 aana,2.5,6,3,Un-Furnished,South-West,16 Feet 
Rs. 4.65Cr ,"Bhaisepati, Lalitpur",4.1 aana,2.5,4,5,Full-Furnished,South,20 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.1 aana,2.5,6,5,Semi-Furnished,South,13 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,5,Semi-Furnished,South,12 Feet 
Rs. 4.5Cr ,"Ganesh Chowk, Kathmandu",4.3 aana,2.5,5,4,Semi-Furnished,South,20 Feet 
Rs. 4.25Cr ,"Banasthali, Kathmandu",4.3 aana,2.5,4,2,Semi-Furnished,South,20 Feet 
Rs. 4.99Cr,"Bhaisepati, Lalitpur",4.3 aana,2.5,4,5,Full-Furnished,East,13 Feet 
Rs. 4.25Cr ,"Imadol, Lalitpur",4.1 aana,3.5,6,5,Full-Furnished,North,15 Feet 
Rs. 2.55Cr ,"Changathali, Lalitpur",3.3 aana,2.5,5,4,Semi-Furnished,South-East,13 Feet 
Rs. 2.19Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,South-East,16 Feet 
Rs. 4.95Cr ,"Imadol, Lalitpur",3.2 aana,3,6,5,Full-Furnished,West,20 Feet 
Rs. 2.95Cr ,"Setipakha, Lalitpur",3.2 aana,3.5,7,5,Semi-Furnished,North-East,23 Feet 
Rs. 2.8Cr ,"Gwarko, Lalitpur",3.1 aana,2.5,4,4,Semi-Furnished,South-East,13 Feet 
Rs. 2.4Cr ,"Bhandari Marg, Lalitpur",3.1 aana,3,6,5,Semi-Furnished,West,13 Feet 
Rs. 5.5Cr ,"Pasikot, Kathmandu",3.1 aana,2.5,8,4,Semi-Furnished,South-West,20 Feet 
Rs. 2.95Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Aakasedhara, Kathmandu",3.2 aana,3.5,6,4,Un-Furnished,South-West,12 Feet 
Rs. 1.25Cr ,"Badegaun, Lalitpur",3.2 aana,3.5,4,3,Semi-Furnished,South,13 Feet 
Rs. 4.45Cr ,"Ganesh Chowk, Kathmandu",4.3 aana,2.5,4,2,Un-Furnished,South,16 Feet 
Rs. 3.75Cr ,"Kalanki, Kathmandu",4.3 aana,3.5,6,3,Semi-Furnished,East,12 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",4.3 aana,2.5,5,6,Semi-Furnished,South,13 Feet 
Rs. 2.75Cr ,"Bhandari Marg, Lalitpur",3.2 aana,3,5,5,Semi-Furnished,South-East,13 Feet 
Rs. 2.6Cr ,"Ganesh Chowk, Kathmandu",3.1 aana,2.5,10,3,Semi-Furnished,North-East,18 Feet 
Rs. 3.5Cr ,"Bhangal , Kathmandu",3.3 aana,2.5,5,3,Semi-Furnished,North-West,13 Feet 
Rs. 4.75Cr ,"Ganesh Chowk, Kathmandu",3.3 aana,2.5,4,5,Semi-Furnished,West,18 Feet 
Rs. 3.5Cr ,"Swoyambhu, Kathmandu",3.3 aana,2.5,6,4,Semi-Furnished,North-East,13 Feet 
Rs. 2.85Cr ,"Lubhu, Lalitpur",3.2 aana,2.5,6,5,Semi-Furnished,North-East,20 Feet 
Rs. 2.75Cr ,"Sitapakha, Lalitpur",3.2 aana,2.5,5,4,Semi-Furnished,West,13 Feet 
Rs. 2.15Cr ,"Changathali, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,North,13 Feet 
Rs. 3.6Cr ,"Aakasedhara, Kathmandu",4.2 aana,2.5,6,3,Un-Furnished,South,13 Feet 
Rs. 1.8Cr ,"Paiyuntar, Kathmandu",4.2 aana,3.5,8,4,Un-Furnished,South,13 Feet 
Rs. 1.2Cr ,"Saraswotikhel, Bhaktapur",2.3 aana,2,5,2,Semi-Furnished,East,13 Feet 
Rs. 3.8Cr ,"Suryabinayak, Bhaktapur",5.3 aana,2.5,5,4,Semi-Furnished,North,20 Feet 
Rs. 2.45Cr ,"Tej Vinayak, Kathmandu",5.3 aana,2.5,7,4,Semi-Furnished,North-East,18 Feet 
Price on call,"Manamaiju, Kathmandu",3.5 aana,2.5,6,3,Un-Furnished,West,13 Feet 
Rs. 2.8Cr ,"Manamaiju, Kathmandu",3.5 aana,3.5,9,4,Un-Furnished,North,20 Feet 
Rs. 1.8Cr ,"Manamaiju, Kathmandu",3.5 aana,2.5,5,3,Un-Furnished,West,13 Feet 
Rs. 2Cr ,"Manamaiju, Kathmandu",3.5 aana,3,7,3,Un-Furnished,North,13 Feet 
Rs. 2.1Cr ,"Manamaiju, Kathmandu",3.5 aana,3,7,3,Un-Furnished,West,13 Feet 
Rs. 1.8Cr ,"Manamaiju, Kathmandu",3.5 aana,3,7,3,Un-Furnished,South,13 Feet 
Rs. 4.9Cr ,"Shital Height, Lalitpur",4.1 aana,3,6,2,Un-Furnished,West,16 Feet 
Rs. 2.45Cr ,"Shital Height, Lalitpur",4.1 aana,2.5,4,3,Un-Furnished,East,13 Feet 
Rs. 2.2Cr ,"Imadol, Lalitpur",2.3 aana,2.5,4,4,Un-Furnished,South-West,13 Feet 
Rs. 3.5Cr ,"Jyotinagar, Kathmandu",2.3 aana,2.5,6,4,Un-Furnished,North-East,16 Feet 
Rs. 3.15Cr ,"Satdobato, Lalitpur",2.3 aana,2.5,4,4,Semi-Furnished,South,13 Feet 
Rs. 1.7Cr ,"Sitapaila, Kathmandu",2.3 aana,2.5,7,3,Semi-Furnished,South-West,13 Feet 
Rs. 2.1Cr ,"Sitapaila, Kathmandu",2.3 aana,2.5,5,2,Semi-Furnished,South-East,12 Feet 
Rs. 4.35Cr ,"Chunikhel, Kathmandu",4.2 aana,2.5,6,4,Semi-Furnished,South,13 Feet 
Rs. 2.5Cr ,"Imadol, Lalitpur",4.2 aana,2.5,5,3,Semi-Furnished,South,13 Feet 
Rs. 3.95Cr ,"Shital Height, Lalitpur",4.2 aana,3,6,6,Full-Furnished,West,15 Feet 
Rs. 3.25Cr ,"Imadol, Lalitpur",3.2 aana,2.5,6,5,Semi-Furnished,East,13 Feet 
Rs. 4.4Cr ,"Ganesh Chowk, Kathmandu",4.2 aana,2.5,4,6,Full-Furnished,South-East,20 Feet 
Rs. 5Cr ,"Nakhipot, Lalitpur",4.2 aana,2.5,4,4,Semi-Furnished,East,20 Feet 
Rs. 2.75Cr ,"Gothatar, Kathmandu",3.1 aana,2.5,7,4,Semi-Furnished,West,18 Feet 
Rs. 3.65Cr ,"Manamaiju, Kathmandu",3.1 aana,2.5,6,4,Un-Furnished,North-West,13 Feet 
Rs. 8.5Cr ,"Bhaisepati, Lalitpur",8.3 aana,2.5,6,2,Un-Furnished,South,16 Feet 
Rs. 5Cr ,"Chandol, Kathmandu",8.3 aana,2.5,5,3,Un-Furnished,West,13 Feet 
Rs. 3Cr ,"Narayantar, Kathmandu",5.3 aana,1,2,1,Full-Furnished,South,12 Feet 
Rs. 3.95Cr ,"Imadol, Lalitpur",5.3 aana,3.5,5,6,Full-Furnished,West,12 Feet 
Rs. 2.35Cr ,"Bhandari Marg, Lalitpur",5.3 aana,3,6,4,Semi-Furnished,East,13 Feet 
Rs. 1.25Cr ,"Tathali, Bhaktapur",2.2 aana,1.5,2,1,Semi-Furnished,South,13 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",2.2 aana,3,6,4,Semi-Furnished,North,13 Feet 
Rs. 3.5Cr ,"Imadol, Lalitpur",3.3 aana,2.5,7,5,Semi-Furnished,East,13 Feet 
Rs. 3Cr ,"Manamaiju, Kathmandu",3.3 aana,3,8,4,Un-Furnished,East,16 Feet 
Rs. 3.75Cr ,"Manamaiju, Kathmandu",3.3 aana,3,7,4,Un-Furnished,South,20 Feet 
Rs. 3.25Cr ,"Manamaiju, Kathmandu",3.5 aana,3,7,4,Un-Furnished,West,16 Feet 
Rs. 2.8Cr ,"Phutung, Kathmandu",3.5 aana,3,6,3,Un-Furnished,South,13 Feet 
Rs. 6.5Cr ,"Phutung, Kathmandu",3.5 aana,3,7,4,Un-Furnished,South-West,16 Feet 
Rs. 2.35Cr ,"Gothatar, Kathmandu",3.5 aana,2.5,6,5,Semi-Furnished,North,15 Feet 
Rs. 2.5Cr ,"Thankot, Kathmandu",4.3 aana,3.5,7,3,Un-Furnished,North,13 Feet 
Rs. 2.7Cr ,"Imadol, Lalitpur",3.2 aana,3,5,5,Full-Furnished,North,13 Feet 
Rs. 2.99Cr ,"Tikathali, Lalitpur",3.3 aana,2.5,5,4,Semi-Furnished,South,20 Feet 
Rs. 5.5Cr ,"Bhaisepati, Lalitpur",3.3 aana,2.5,5,6,Semi-Furnished,South,12 Feet 
Rs. 3Cr,"Koteshwor, Kathmandu",3.2 aana,3.5,4,2,Semi-Furnished,West,13 Feet 
Rs. 4.5Cr ,"Aakasedhara, Kathmandu",3.2 aana,2.5,5,6,Semi-Furnished,North-East,12 Feet 
Rs. 3.5Cr ,"Nepaltar, Kathmandu",3.2 aana,2.5,8,5,Semi-Furnished,South-West,12 Feet 
Rs. 3.5Cr ,"Dhapasi, Kathmandu",3.2 aana,2.5,6,4,Semi-Furnished,North-East,13 Feet 
Rs. 2.3Cr ,"Jhor, Kathmandu",3.1 aana,2.5,5,3,Semi-Furnished,North-East,16 Feet 
Rs. 6.25Cr ,"Bhaisepati, Lalitpur",6.2 aana,2.5,4,1,Semi-Furnished,North-East,16 Feet 
Rs. 3.25Cr ,"Lasuntar, Kathmandu",4.2 aana,2.5,6,2,Semi-Furnished,South,16 Feet 
Rs. 4.3Cr ,"Budhanilkantha, Kathmandu",6.2 aana,2.5,6,2,Semi-Furnished,South,13 Feet 
Rs. 3Cr ,"Bhangal , Kathmandu",6.2 aana,2.5,5,2,Un-Furnished,North-East,13 Feet 
Rs. 2.8Cr ,"Handigaun, Kathmandu",2.1 aana,2.5,4,2,Un-Furnished,South,16 Feet 
Rs. 2.4Cr ,"Padamsal, Kathmandu",2.1 aana,3.5,4,4,Semi-Furnished,North,12 Feet 
Rs. 5.1Cr ,"Baniyatar, Kathmandu",2.1 aana,3.5,6,7,Full-Furnished,East,13 Feet 
Rs. 4.2Cr ,"Sitapakha, Lalitpur",3.1 aana,2.5,7,4,Semi-Furnished,South-East,12 Feet 
