price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,furniture,floors
37500000,Shanti Chowk,3 anna 2 paisa,North-East,6,6,2,3.5,4,20,Full Furnished,3.5
87500000,Near Triton college,10 aana,North-East,5,4,2,3,3,,Full Furnished,3
60000000,kalanki,8 aana,North-East,7,4,1,2.5,,13,Semi Furnished,2.5
45000000,pasikot,4 aana 1 paisa,East,6,2,2,2.5,2,13,Semi Furnished,2.5
47500000,"Sano bharyang Colony,Ward no.2",4.2 aana,South-East,4,4,1,2.5,3,20,Semi Furnished,2.5
24500000,2.5 km from kalanki,4 aana 1 paisa 3 daam,East,8,5,3,3,2,13,Semi Furnished,3
100000000,Sano bharyang Colony,13 aana,South-West,5,5,1,3,10,20,Semi Furnished,3
95000000,"Sitapaila,Comfort housing",13 aana 2 paisa,South,5,3,1,2.5,10,20,Full Furnished,2.5
46500000,"Sanagaun, lalitpur",0-5-0-0,West,4,5,2,3,1,20,Full Furnished,3
49500000,"Sanagaun, lalitpur",0-5-0-0,West,5,5,2,3,1,,Full Furnished,3
46500000,"Sanagau, Lalitpur",0-4-3-0,East,5,6,2,3,1,13,Semi Furnished,3
37500000,"Ochu Height, Imadol",0-4-1-0,South,4,5,2,3,1,13,Full Furnished,3
33500000,"Ochu height, Imadol",0-3-1-0,South,5,5,2,3,1,13,Full Furnished,3
42500000,imadol sitalheight,Nepal,North-East,,3,2,2.5,2,13,Full Furnished,2.5
26500000,"Tikathali, Mahalaxmi, Nepal",3Anna 3Daam,West,,2,2,3,3,13,Semi Furnished,3
57000000,"Shital height, Imadol",0-5-0-0,West,6,7,1,3,1,,Full Furnished,3
67500000,mid baneshwor ,Nepal,East,5,4,1,2.5,2,,Unfurnished,2.5
33500000,"Shital height, Imadol",0-3-1-0,North,5,6,2,3,1,,Full Furnished,3
41500000,Ochu Height,0-4-0-1,South,6,5,2,3.5,2,,Full Furnished,3.5
33000000,ochu height,0-3-1-1,South,5,5,2,2.5,2,,Full Furnished,2.5
33500000,"Shital height, Imadol",0-3-1-0,North,5,5,3,3,1,13,Full Furnished,3
42500000,"Shital Height, Imadol ",0-3-3-0,South-East,6,7,4,3,1,,Full Furnished,3
45000000,"Shital Height, Imadol",0-4-0-0,South-West,6,5,2,3,1,,Semi Furnished,3
14000000,Thali,0-3-1-2,North-West,2,1,1,1,1,,Semi Furnished,1
33500000,"Balaju height, Bohoratar",0-4-2-0,East,7,4,1,2.5,1,,Semi Furnished,2.5
29500000,Balaju dhalmal chowk,0-3-3-0,West,5,4,1,2.5,1,,Semi Furnished,2.5
29500000,imadol,Nepal,South,6,4,2,3,3,13,Semi Furnished,3
9500000,Bistachap,,East,2,1,1,1,1,,Select Furnishing,1
57000000,imadol sitalheight,Nepal,South,7,5,2,3,3,13,Full Furnished,3
32500000,imadol sitalheight,Nepal,North,5,4,3,4,2,13,Full Furnished,4
